ts,device,co,humidity,light,lpg,motion,smoke,temp
1594512310,1c:bf:ce:15:ec:4d,0.004451498,77.90000153,TRUE,0.007079184,FALSE,0.018786491,27
1594512310,00:0f:00:70:91:0a,0.002840089,76.90000153,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512313,b8:27:eb:bf:9d:51,0.004997519,50.9,FALSE,0.007697204,FALSE,0.020543474,22.6
1594512315,00:0f:00:70:91:0a,0.002840089,76.19999695,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512316,b8:27:eb:bf:9d:51,0.005000431,50.9,FALSE,0.007700449,FALSE,0.020552724,22.6
1594512319,00:0f:00:70:91:0a,0.002840089,76.19999695,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512320,b8:27:eb:bf:9d:51,0.004991805,51,FALSE,0.007690836,FALSE,0.02052532,22.7
1594512322,1c:bf:ce:15:ec:4d,0.004349402,77.80000305,TRUE,0.006961354,FALSE,0.018452669,27
1594512324,b8:27:eb:bf:9d:51,0.004943235,51,FALSE,0.00763663,FALSE,0.020370828,22.7
1594512325,00:0f:00:70:91:0a,0.002840089,76.19999695,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512327,b8:27:eb:bf:9d:51,0.004993254,51,FALSE,0.007692451,FALSE,0.020529925,22.7
1594512331,1c:bf:ce:15:ec:4d,0.004451498,77.80000305,TRUE,0.007079184,FALSE,0.018786491,27
1594512331,b8:27:eb:bf:9d:51,0.004990367,51,FALSE,0.007689234,FALSE,0.020520753,22.7
1594512335,b8:27:eb:bf:9d:51,0.005000431,51,FALSE,0.007700449,FALSE,0.020552724,22.7
1594512335,00:0f:00:70:91:0a,0.002872341,76.40000153,FALSE,0.005156333,FALSE,0.013391177,19.70000076
1594512336,1c:bf:ce:15:ec:4d,0.004333721,77.80000305,TRUE,0.006943189,FALSE,0.018401241,27
1594512338,b8:27:eb:bf:9d:51,0.004997519,51,FALSE,0.007697204,FALSE,0.020543474,22.7
1594512339,00:0f:00:70:91:0a,0.002840089,76.30000305,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512341,1c:bf:ce:15:ec:4d,0.004415088,77.80000305,TRUE,0.007037249,FALSE,0.018667642,27
1594512342,b8:27:eb:bf:9d:51,0.005006241,51,FALSE,0.007706919,FALSE,0.020571173,22.7
1594512346,b8:27:eb:bf:9d:51,0.005014938,51,FALSE,0.007716603,FALSE,0.020598783,22.7
1594512349,1c:bf:ce:15:ec:4d,0.004306515,78.90000153,TRUE,0.00691163,FALSE,0.018311911,27
1594512350,b8:27:eb:bf:9d:51,0.005026604,51,FALSE,0.007729584,FALSE,0.0206358,22.7
1594512350,00:0f:00:70:91:0a,0.002905015,76.09999847,FALSE,0.005198697,FALSE,0.013508733,19.70000076
1594512353,b8:27:eb:bf:9d:51,0.004991763,51,FALSE,0.00769079,FALSE,0.020525187,22.7
1594512355,1c:bf:ce:15:ec:4d,0.004451498,77.90000153,TRUE,0.007079184,FALSE,0.018786491,27
1594512356,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512357,b8:27:eb:bf:9d:51,0.004990367,51,FALSE,0.007689234,FALSE,0.020520753,22.7
1594512359,1c:bf:ce:15:ec:4d,0.004415088,77.90000153,TRUE,0.007037249,FALSE,0.018667642,27
1594512360,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512361,b8:27:eb:bf:9d:51,0.004981719,51,FALSE,0.007679592,FALSE,0.020493267,22.7
1594512364,b8:27:eb:bf:9d:51,0.005039661,51,FALSE,0.007744104,FALSE,0.020677211,22.6
1594512365,00:0f:00:70:91:0a,0.002792826,76.09999847,FALSE,0.005052672,FALSE,0.013103809,19.70000076
1594512366,1c:bf:ce:15:ec:4d,0.004517441,77.90000153,TRUE,0.007154892,FALSE,0.01900118,27
1594512368,b8:27:eb:bf:9d:51,0.004967364,51,FALSE,0.007663577,FALSE,0.020447621,22.6
1594512369,00:0f:00:70:91:0a,0.002840089,76.09999847,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512371,1c:bf:ce:15:ec:4d,0.004451498,78,TRUE,0.007079184,FALSE,0.018786491,27
1594512372,b8:27:eb:bf:9d:51,0.004980273,51,FALSE,0.00767798,FALSE,0.020488672,22.6
1594512375,b8:27:eb:bf:9d:51,0.004965923,51,FALSE,0.007661969,FALSE,0.020443038,22.6
1594512379,b8:27:eb:bf:9d:51,0.005000431,51,FALSE,0.007700449,FALSE,0.020552724,22.7
1594512381,00:0f:00:70:91:0a,0.002840089,76,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512383,b8:27:eb:bf:9d:51,0.004999062,51,FALSE,0.007698923,FALSE,0.020548375,22.7
1594512385,1c:bf:ce:15:ec:4d,0.004391004,78,TRUE,0.007009459,FALSE,0.018588908,27
1594512386,00:0f:00:70:91:0a,0.002840089,76.19999695,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512387,b8:27:eb:bf:9d:51,0.004971645,51,FALSE,0.007668355,FALSE,0.020461238,22.7
1594512389,1c:bf:ce:15:ec:4d,0.004341545,78,TRUE,0.006952255,FALSE,0.018426906,27
1594512390,b8:27:eb:bf:9d:51,0.004958991,51,FALSE,0.007654231,FALSE,0.020420984,22.7
1594512392,00:0f:00:70:91:0a,0.002840089,76,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512394,b8:27:eb:bf:9d:51,0.005006199,51,FALSE,0.007706873,FALSE,0.02057104,22.7
1594512396,1c:bf:ce:15:ec:4d,0.004459671,78.19999695,TRUE,0.007088583,FALSE,0.018813138,27
1594512397,00:0f:00:70:91:0a,0.002880499,76,FALSE,0.005166923,FALSE,0.013420558,19.70000076
1594512398,b8:27:eb:bf:9d:51,0.004981719,51,FALSE,0.007679592,FALSE,0.020493267,22.7
1594512399,1c:bf:ce:15:ec:4d,0.004492535,78.19999695,TRUE,0.007126334,FALSE,0.018920179,27
1594512401,00:0f:00:70:91:0a,0.002840089,76,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512401,b8:27:eb:bf:9d:51,0.004986109,51,FALSE,0.007684487,FALSE,0.020507221,22.7
1594512404,1c:bf:ce:15:ec:4d,0.004439323,78.30000305,TRUE,0.007065172,FALSE,0.018746775,27.10000038
1594512405,b8:27:eb:bf:9d:51,0.004987503,51,FALSE,0.007686042,FALSE,0.020511652,22.7
1594512408,00:0f:00:70:91:0a,0.002840089,76,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512409,b8:27:eb:bf:9d:51,0.004970256,51,FALSE,0.007666805,FALSE,0.02045682,22.7
1594512409,1c:bf:ce:15:ec:4d,0.004318122,78.19999695,TRUE,0.006925101,FALSE,0.018350039,27
1594512412,b8:27:eb:bf:9d:51,0.005003324,51,FALSE,0.007703672,FALSE,0.020561913,22.7
1594512413,00:0f:00:70:91:0a,0.002792826,75.80000305,FALSE,0.005052672,FALSE,0.013103809,19.79999924
1594512415,1c:bf:ce:15:ec:4d,0.004291028,78.09999847,TRUE,0.006893641,FALSE,0.018261005,27
1594512416,b8:27:eb:bf:9d:51,0.004999033,51,FALSE,0.007698891,FALSE,0.020548282,22.7
1594512419,1c:bf:ce:15:ec:4d,0.004341545,78.19999695,TRUE,0.006952255,FALSE,0.018426906,27.10000038
1594512420,b8:27:eb:bf:9d:51,0.004966005,51.1,FALSE,0.007662061,FALSE,0.020443298,22.7
1594512423,b8:27:eb:bf:9d:51,0.004965923,51.1,FALSE,0.007661969,FALSE,0.020443038,22.7
1594512424,00:0f:00:70:91:0a,0.002840089,75.40000153,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512425,1c:bf:ce:15:ec:4d,0.004459671,78.09999847,TRUE,0.007088583,FALSE,0.018813138,27
1594512427,b8:27:eb:bf:9d:51,0.004997519,51.1,FALSE,0.007697204,FALSE,0.020543474,22.7
1594512431,1c:bf:ce:15:ec:4d,0.004341545,78.09999847,TRUE,0.006952255,FALSE,0.018426906,27
1594512431,b8:27:eb:bf:9d:51,0.004990396,51,FALSE,0.007689266,FALSE,0.020520845,22.7
1594512433,00:0f:00:70:91:0a,0.002840089,75.5,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512434,b8:27:eb:bf:9d:51,0.005006199,51,FALSE,0.007706873,FALSE,0.02057104,22.7
1594512438,00:0f:00:70:91:0a,0.002840089,75.59999847,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512438,b8:27:eb:bf:9d:51,0.004993256,51.1,FALSE,0.007692454,FALSE,0.020529932,22.7
1594512442,b8:27:eb:bf:9d:51,0.005004798,51.1,FALSE,0.007705313,FALSE,0.020566593,22.7
1594512446,b8:27:eb:bf:9d:51,0.005013474,51,FALSE,0.007714973,FALSE,0.020594137,22.6
1594512446,00:0f:00:70:91:0a,0.002840089,75.59999847,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512447,1c:bf:ce:15:ec:4d,0.004351369,78.09999847,TRUE,0.006963631,FALSE,0.018459116,27
1594512449,b8:27:eb:bf:9d:51,0.005014896,51.1,FALSE,0.007716556,FALSE,0.02059865,22.7
1594512449,00:0f:00:70:91:0a,0.002840089,75.59999847,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512451,1c:bf:ce:15:ec:4d,0.004391004,78,TRUE,0.007009459,FALSE,0.018588908,27
1594512453,b8:27:eb:bf:9d:51,0.004990367,51.1,FALSE,0.007689234,FALSE,0.020520753,22.7
1594512453,00:0f:00:70:91:0a,0.002840089,75.59999847,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512456,1c:bf:ce:15:ec:4d,0.004341545,78,TRUE,0.006952255,FALSE,0.018426906,27
1594512457,b8:27:eb:bf:9d:51,0.004997519,51.1,FALSE,0.007697204,FALSE,0.020543474,22.7
1594512457,00:0f:00:70:91:0a,0.002792826,75.80000305,FALSE,0.005052672,FALSE,0.013103809,19.79999924
1594512460,b8:27:eb:bf:9d:51,0.004981719,51.1,FALSE,0.007679592,FALSE,0.020493267,22.6
1594512462,00:0f:00:70:91:0a,0.002746464,75.59999847,FALSE,0.004991855,FALSE,0.012935399,19.79999924
1594512464,b8:27:eb:bf:9d:51,0.005004798,51.1,FALSE,0.007705313,FALSE,0.020566593,22.7
1594512464,1c:bf:ce:15:ec:4d,0.004341545,78,TRUE,0.006952255,FALSE,0.018426906,27
1594512468,b8:27:eb:bf:9d:51,0.004994671,51.1,FALSE,0.007694031,FALSE,0.020534428,22.6
1594512470,1c:bf:ce:15:ec:4d,0.004302587,78,TRUE,0.00690707,FALSE,0.018299006,27
1594512471,b8:27:eb:bf:9d:51,0.005020725,51.1,FALSE,0.007723043,FALSE,0.020617148,22.6
1594512472,00:0f:00:70:91:0a,0.002840089,75.5,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512475,b8:27:eb:bf:9d:51,0.004965923,51.1,FALSE,0.007661969,FALSE,0.020443038,22.6
1594512477,00:0f:00:70:91:0a,0.002840089,75.30000305,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512477,1c:bf:ce:15:ec:4d,0.004341545,78.19999695,TRUE,0.006952255,FALSE,0.018426906,27
1594512479,b8:27:eb:bf:9d:51,0.004967498,51.1,FALSE,0.007663727,FALSE,0.020448047,22.7
1594512482,b8:27:eb:bf:9d:51,0.004981719,51.1,FALSE,0.007679592,FALSE,0.020493267,22.6
1594512483,00:0f:00:70:91:0a,0.002840089,75.19999695,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512486,1c:bf:ce:15:ec:4d,0.004439323,78.40000153,TRUE,0.007065172,FALSE,0.018746775,27
1594512486,b8:27:eb:bf:9d:51,0.005009117,51.1,FALSE,0.007710122,FALSE,0.020580305,22.6
1594512487,00:0f:00:70:91:0a,0.002840089,75.30000305,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512490,b8:27:eb:bf:9d:51,0.004997519,51.2,FALSE,0.007697204,FALSE,0.020543474,22.7
1594512491,1c:bf:ce:15:ec:4d,0.004341545,78.5,TRUE,0.006952255,FALSE,0.018426906,27
1594512493,b8:27:eb:bf:9d:51,0.004986014,51.2,FALSE,0.007684382,FALSE,0.02050692,22.7
1594512497,b8:27:eb:bf:9d:51,0.00495602,51.1,FALSE,0.007650913,FALSE,0.020411529,22.6
1594512497,00:0f:00:70:91:0a,0.002840089,75.19999695,FALSE,0.005114383,FALSE,0.013274837,19.70000076
1594512501,1c:bf:ce:15:ec:4d,0.004371186,78.5,TRUE,0.006986559,FALSE,0.018524044,27
1594512501,b8:27:eb:bf:9d:51,0.004988856,51.1,FALSE,0.00768755,FALSE,0.020515952,22.6
1594512501,00:0f:00:70:91:0a,0.002840089,75.19999695,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512504,b8:27:eb:bf:9d:51,0.004988856,51.1,FALSE,0.00768755,FALSE,0.020515952,22.6
1594512505,00:0f:00:70:91:0a,0.002840089,75.30000305,FALSE,0.005114383,FALSE,0.013274837,19.79999924
